Chemical formula,Synonyms,CAS number
Co(NO3)3,cobalt(III) nitrate,15520-84-0
Co(OH)2,cobalt(II) hydroxide,21041-93-0
Co(OH)2,cobalt(II) hydroxide,21041-93-0
Co(OH)3,cobalt(III) hydroxide,1307-86-4
Co(OH)3,cobalt(III) hydroxide,1307-86-4
CO2,carbon dioxide,124-38-9
Co2B,cobalt boride,12045-01-1
Co2B,cobalt boride,12045-01-1
Co2S3,cobalt(III) sulfide,1332-71-4
Co2S3,cobalt(III) sulfide,1332-71-4
Co2SiO4,cobalt(II) orthosilicate,12017-08-2
Co2SiO4,cobalt(II) orthosilicate,12017-08-2
Co2SnO4,cobalt(II) stannate,12139-93-4
Co2SnO4,cobalt(II) stannate,12139-93-4
Co2SO4,cobalt(II) sulfate,10124-43-3
Co2SO4,cobalt(II) sulfate,10124-43-3
Co2TiO4,cobalt(II) titanite,12017-38-8
Co2TiO4,cobalt(II) titanite,12017-38-8
CO3,carbon trioxide,
CO32−,carbonate ion,
Co3Fe2CN12,cobalt(II) ferricyanide,14049-81-1
Co3Fe2CN12,cobalt(II) ferricyanide,14049-81-1
CoAl2O4,cobalt(II) aluminate,13820-62-7
CoAl2O4,cobalt(II) aluminate,13820-62-7
CoAs,cobalt arsenide,27016-73-5
CoAs,cobalt arsenide,27016-73-5
CoAs2,cobalt(II) arsenide,12044-42-7
CoAs2,cobalt(II) arsenide,12044-42-7
CoB,cobalt(II) boride,12006-77-8
CoB,cobalt(II) boride,12006-77-8
CoBr2,cobalt(II) bromide,7789-43-7
CoBr2,cobalt(II) bromide,7789-43-7
CoC2O4,cobalt(II) oxalate,814-89-1
CoC2O4,cobalt(II) oxalate,814-89-1
COCl2,phosgene,75-44-5
CoCl2,cobalt(II) chloride,7646-79-9
CoCl2,cobalt(II) chloride,7646-79-9
CoCr2O4,cobalt(II) chromite,13455-25-9
CoCr2O4,cobalt(II) chromite,13455-25-9
CoCrO4,cobalt(II) chromate,24613-38-5
CoCrO4,cobalt(II) chromate,24613-38-5
CoF2,cobalt(II) fluoride,10026-17-2
CoF2,cobalt(II) fluoride,10026-17-2
CoF3,cobalt(III) fluoride,10026-18-3
CoF3,cobalt(III) fluoride,10026-18-3
CoI2,cobalt(II) iodide,15238-00-3
CoI2,cobalt(II) iodide,15238-00-3
CoMoO4,cobalt(II) molybdate,13762-14-6
CoMoO4,cobalt(II) molybdate,13762-14-6
CoO,cobalt(II) oxide,1307-96-6
CoO,cobalt(II) oxide,1307-96-6
CoS,cobalt(II) sulfide,1317-42-6
CoS,cobalt(II) sulfide,1317-42-6
CoS2,cobalt disulfide,12013-10-4
CoS2,cobalt disulfide,12013-10-4
CoSb,cobalt antimonide,12052-42-5
CoSb,cobalt antimonide,12052-42-5
CoSe,cobalt(II) selenide,1307-99-9
CoSe,cobalt(II) selenide,1307-99-9
CoSeO3,cobalt(II) selenite,
CoSeO3,cobalt(II) selenite,
CoTe,cobalt(II) telluride,12017-13-9
CoTe,cobalt(II) telluride,12017-13-9
CoTiO3,cobalt(II) titanate,12017-01-5
CoTiO3,cobalt(II) titanate,12017-01-5
CoWO4,cobalt(II) tungstate,12640-47-0
CoWO4,cobalt(II) tungstate,12640-47-0
Cr(NO2)3,chromium(III) nitrite,
Cr(NO2)3,chromium(III) nitrite,
Cr(NO3)3,chromium(III) nitrate,13548-38-4
Cr(NO3)3,chromium(III) nitrate,13548-38-4
Cr2(SO4)3,chromium(III) sulfate,10101-53-8
Cr2(SO4)3,chromium(III) sulfate,10101-53-8
Cr2(TeO4)3,chromium(III) tellurate,
Cr2(TeO4)3,chromium(III) tellurate,
Cr2O3,chromium(III) oxide,1308-38-9
Cr2O3,chromium(III) oxide,1308-38-9
Cr2S3,chromium(III) sulfide,12018-22-3
Cr2S3,chromium(III) sulfide,12018-22-3
Cr2Se3,chromium(III) selenide,
Cr2Se3,chromium(III) selenide,
Cr2Te3,chromium(III) telluride,12053-39-3
Cr2Te3,chromium(III) telluride,12053-39-3
Cr3As2,chromium(II) arsenide,
Cr3As2,chromium(II) arsenide,
Cr3C2,chromium(II) carbide,12012-35-0
Cr3C2,chromium(II) carbide,12012-35-0
Cr3Sb2,chromium(II) antimonide,
Cr3Sb2,chromium(II) antimonide,
Cr3Si2,chromium(II) silicide,
Cr3Si2,chromium(II) silicide,
CrBr2,chromium(II) bromide,10049-25-9
CrBr2,chromium(II) bromide,10049-25-9
CrBr3,chromium(III) bromide,10031-25-1
CrBr3,chromium(III) bromide,10031-25-1
CrCl2,chromium(II) chloride,10049-05-5
CrCl2,chromium(II) chloride,10049-05-5
CrCl3,chromium(III) chloride,10025-73-7
CrCl3,chromium(III) chloride,10025-73-7
CrCl4,chromium(IV) chloride,15597-88-3
CrCl4,chromium(IV) chloride,15597-88-3
CrF2,chromium(II) fluoride,10049-10-2
CrF2,chromium(II) fluoride,10049-10-2
CrF3,chromium(III) fluoride,7788-97-8
CrF3,chromium(III) fluoride,7788-97-8
CrF4,chromium(IV) fluoride,10049-11-3
CrF4,chromium(IV) fluoride,10049-11-3
CrF5,chromium(V) fluoride,13843-28-2
CrF5,chromium(V) fluoride,13843-28-2
CrF6,chromium(VI) fluoride,13843-28-2
CrF6,chromium(VI) fluoride,13843-28-2
CrI2,chromium(II) iodide,13478-28-9
CrI2,chromium(II) iodide,13478-28-9
CrI3,chromium(III) iodide,13569-75-0
CrI3,chromium(III) iodide,13569-75-0
CrO2,chromium(IV) oxide,12018-01-8
CrO2,chromium(IV) oxide,12018-01-8
CrO2Cl2,chromium(VI) oxychloride,14977-61-8
CrO2Cl2,chromium(VI) oxychloride,14977-61-8
CrO3,chromium(VI) oxide,1333-82-0
CrO3,chromium(VI) oxide,1333-82-0
CrO42−,chromate ion,
CrO42−,chromate ion,
CrPO4,chromium(III) phosphate,7789-04-0
CrPO4,chromium(III) phosphate,7789-04-0
CrSb,chromium antimonide,12053-12-2
CrSb,chromium antimonide,12053-12-2
CrVO4,chromium(III) orthovanadate,
CrVO4,chromium(III) orthovanadate,
CS2,carbon disulfide,75-15-0
Cs2C2O4,caesium oxalate,
Cs2C2O4,caesium oxalate,
Cs2CO3,caesium carbonate,29703-01-3
Cs2CO3,caesium carbonate,29703-01-3
Cs2Cr2O7,caesium dichromate,
Cs2Cr2O7,caesium dichromate,
Cs2CrO4,caesium chromate,
Cs2CrO4,caesium chromate,
Cs2HPO4,caesium hydrogen orthophosphate,
Cs2HPO4,caesium hydrogen orthophosphate,
Cs2MoO4,caesium molybdate,13597-64-3
Cs2MoO4,caesium molybdate,13597-64-3
Cs2O,caesium oxide,20281-00-9
Cs2O,caesium oxide,20281-00-9
Cs2S,caesium sulfide,12214-16-3
Cs2S,caesium sulfide,12214-16-3
Cs2SiO3,caesium metasilicate,
Cs2SiO3,caesium metasilicate,
Cs2SO3,caesium sulfite,
Cs2SO3,caesium sulfite,
Cs2SO4,caesium sulfate,10294-54-9
Cs2SO4,caesium sulfate,10294-54-9
Cs2TeO4,caesium tellurate,
Cs2TeO4,caesium tellurate,
Cs2TiO3,caesium titanate,
Cs2TiO3,caesium titanate,
Cs2WO4,caesium orthotungstate,
Cs2WO4,caesium orthotungstate,
Cs3PO4,caesium orthophosphate,
Cs3PO4,caesium orthophosphate,
Cs3VO4,caesium orthovanadate,
Cs3VO4,caesium orthovanadate,
CsBO2,caesium borate,92141-86-1
CsBO2,caesium borate,92141-86-1
CsBr,caesium bromide,7787-69-1
CsBr,caesium bromide,7787-69-1
CsBr3,caesium tribromide,
CsBr3,caesium tribromide,
CsBrO3,caesium bromate,13454-75-6
CsBrO3,caesium bromate,13454-75-6
CsC2H3O2,caesium acetate,3396-11-0
CsC2H3O2,caesium acetate,3396-11-0
CsCl,caesium chloride,7647-17-8
CsCl,caesium chloride,7647-17-8
CsClO3,caesium chlorate,13763-67-2
CsClO3,caesium chlorate,13763-67-2
CsClO4,caesium perchlorate,13454-84-7
CsClO4,caesium perchlorate,13454-84-7
CsCN,caesium cyanide,21159-32-0
CsCN,caesium cyanide,21159-32-0
CsF,caesium fluoride,13400-13-0
CsF,caesium fluoride,13400-13-0
CsI,caesium iodide,7789-17-5
CsI,caesium iodide,7789-17-5
CsI3,caesium triiodide,
CsI3,caesium triiodide,
CsN3,caesium azide,22750-57-8
CsN3,caesium azide,22750-57-8
CsNbO3,caesium metaniobate,
CsNbO3,caesium metaniobate,
CsNH2,caesium amide,22205-57-8
CsNH2,caesium amide,22205-57-8
CsNO3,caesium nitrate,7789-18-6
CsNO3,caesium nitrate,7789-18-6
CsO2,caesium superoxide,12018-61-0
CsO2,caesium superoxide,12018-61-0
CsOH,caesium hydroxide,21351-79-1
CsOH,caesium hydroxide,21351-79-1
CsSCN,caesium thiocyanate,
CsSCN,caesium thiocyanate,
CsSeO4,caesium selenate,
CsSeO4,caesium selenate,
CsTaO3,caesium metatantalate,
CsTaO3,caesium metatantalate,
Cu(BrO3)2 · 6H2O,copper(II) bromate hexahydrate,
Cu(BrO3)2 · 6H2O,copper(II) bromate hexahydrate,
Cu(ClO3)2 · 6H2O,copper(II) chlorate hexahydrate,
Cu(ClO3)2 · 6H2O,copper(II) chlorate hexahydrate,
Cu(IO3)2,copper(II) iodate,
Cu(IO3)2,copper(II) iodate,
Cu(NbO3)2,copper(II) orthoniobate,
Cu(NbO3)2,copper(II) orthoniobate,
Cu(NO3)2,copper(II) nitrate,
Cu(NO3)2,copper(II) nitrate,
Cu(NO3)2 · 3H2O,copper(II) nitrate trihydrate,
Cu(NO3)2 · 3H2O,copper(II) nitrate trihydrate,
Cu(NO3)2 · 6H2O,copper(II) nitrate hexahydrate,10294-41-4
Cu(NO3)2 · 6H2O,copper(II) nitrate hexahydrate,10294-41-4
Cu(OH)2,copper(II) hydroxide,
Cu(OH)2,copper(II) hydroxide,
Cu(OH)2CO3,Verdigris,
Cu(OH)2CO3,Verdigris,
Cu(VO3)2,copper(II) metavanadate,
Cu(VO3)2,copper(II) metavanadate,
Cu2CO3(OH)2,malachite,
Cu2CO3(OH)2,malachite,
Cu2S,copper(I) sulfide,
Cu2S,copper(I) sulfide,
Cu2Se,copper(I) selenide,
Cu2Se,copper(I) selenide,
Cu2Te,copper(I) telluride,
Cu2Te,copper(I) telluride,
Cu3(PO4)2,copper(II) phosphate,
Cu3(PO4)2,copper(II) phosphate,
Cu3As,copper(I) arsenide,
Cu3As,copper(I) arsenide,
Cu3P,copper(I) phosphide,
Cu3P,copper(I) phosphide,
Cu3Sb,copper(III) antimonide,
Cu3Sb,copper(III) antimonide,
Cu3Zn2,brass,
Cu3Zn2,brass,
Cu9S5,copper sulfide,
Cu9S5,copper sulfide,
CuBr,copper(I) bromide,7787-70-4
CuBr,copper(I) bromide,7787-70-4
CuBr2,copper(II) bromide,
CuBr2,copper(II) bromide,
CuC2O4,copper oxalate,
CuC2O4,copper oxalate,
CuCl,copper(I) chloride,7758-89-6
CuCl,copper(I) chloride,7758-89-6
CuCl2,copper(II) chloride,7447-39-4
CuCl2,copper(II) chloride,7447-39-4
CuFe2O4,copper(II) iron(II) oxide,
CuFe2O4,copper(II) iron(II) oxide,
CuFe2S3,copper iron sulfide,
CuFe2S3,copper iron sulfide,
CuFeS2,copper iron sulfide,
CuFeS2,copper iron sulfide,
CuI,copper(I) iodide,7681-65-4
CuI,copper(I) iodide,7681-65-4
CuIO3,copper(I) iodate,
CuIO3,copper(I) iodate,
CuMoO4,copper(II) orthomolybdate,
CuMoO4,copper(II) orthomolybdate,
CuO,copper(II) oxide,1317-38-0
CuO,copper(II) oxide,1317-38-0
CuS,copper(II) sulfide,1317-40-4
CuS,copper(II) sulfide,1317-40-4
CuSCN,copper(I) thiocyanate,
CuSCN,copper(I) thiocyanate,
CuSe,copper(II) selenide,
CuSe,copper(II) selenide,
CuSeO3 · 2H2O,copper(II) selenite dihydrate,
CuSeO3 · 2H2O,copper(II) selenite dihydrate,
CuSeO4 · 5H2O,copper(II) selenate pentahydride,
CuSeO4 · 5H2O,copper(II) selenate pentahydride,
CuSiO3,copper(II) metasilicate,
CuSiO3,copper(II) metasilicate,
CuSO4,copper(II) sulfate,7758-98-7
CuSO4,copper(II) sulfate,7758-98-7
CuSO4 · 5H2O,copper(II) sulfate pentahydrate,
CuSO4 · 5H2O,copper(II) sulfate pentahydrate,
CuTe,copper(II) telluride,
CuTe,copper(II) telluride,
CuTeO3,copper(II) tellurite,
CuTeO3,copper(II) tellurite,
CuTiO3,copper(II) metatitanate,
CuTiO3,copper(II) metatitanate,
CuWO4,copper(II) orthotungstate,
CuWO4,copper(II) orthotungstate,
ErF,erbium monofluoride,16087-67-5
ErF2,erbium difluoride,16087-65-3
ErF3,erbium trifluoride,13760-83-3
ErI3,erbium triiodide,13813-42-8
ErI4Na,erbium sodium tetraiodide,129863-13-4
ErO,erbium monoxide,12280-61-4
Eu2O,dieuropium monoxide,62462-47-9
Eu2O2,dieuropium dioxide,62462-48-0
Eu2S,dieuropium monosulfide,62462-49-1
Eu2S2,dieuropium disulfide,62462-51-5
EuF,europium monofluoride,17209-60-8
EuF3,europium trifluoride,13765-25-8
EuI2,europium diiodide,22015-35-6
EuNb2O6,europium diniobium hexaoxide,55216-32-5
EuNbO2,europium niobium dioxide,107069-78-3
EuO,europium monoxide,12020-60-9
EuO2V,monoeuropium monovandium dioxide,88762-30-5
EuO3Ti,europium titanium trioxide,12020-61-0
EuO3V,europium metavanadate,39432-21-8
EuO4W,europium tungsten tetraoxide,13537-12-7
EuS,europium monosulfide,12020-65-4
EuS2,europium disulfide,55957-42-1
F10Mo2,molybdenum fluoride,65653-18-1
F10S2,sulfur fluoride,5714-22-7
F15Mo3,molybdenum fluoride,65653-05-6
F2,fluorine,7782-41-4
F2Fe,iron fluoride,41428-55-1
F2Fe,ferrous fluoride,7789-28-8
F2Ga,gallium difluoride,51777-79-8
F2Gd,gadolinium difluoride,12259-19-7
F2Ge,germanium difluoride,13940-63-1
F2GeO,difluorogermanone,72190-38-6
F2Hg,mercury fluoride,7783-39-3
F2Hg2,mercury fluoride,13967-25-4
F2Ho,holmium difluoride,16087-64-2
F2IP,difluoroiodophosphine,13819-11-9
F2K2,dipotassium difluoride,12285-62-0
F2Kr,krypton difluoride,13773-81-4
F2La,lanthanum difluoride,15948-68-2
F2Li2,lithium fluoride,12265-82-6
F2Mg,magnesium fluoride,7783-40-6
F2Mn,manganese difluoride,7782-64-1
F2Mo,molybdenum difluoride,20205-60-1
F2MoO2,molybdenum difluoride dioxide,13824-57-2
F2N,difluoroamino radical,7/8/3744
F2N2O,nitrosodifluoroamine,14984-78-2
F2Na2,disodium difluoride,12285-64-2
F2Nd,neodymium difluoride,13940-76-6
F2Ni,nickel difluoride,10028-18-9
F2O,oxygen difluoride,7783-41-7
F2O2,perfluoroperoxide,7783-44-0
F2O2S,sulfuryl fluoride,2699-79-8
F2O2W,tungsten difluoride dioxide,14118-73-1
F2O5S3,peroxydisulfuryl difluoride,
F2OS,thionyl fluoride,7783-42-8
F2OSi,difluorooxosilane,14041-22-6
F2OTi,titanium fluoride oxide,13537-16-1
F2P,phosphorus difluoride,13873-52-4
F2Pb,lead difluoride,7783-46-2
F2Pt,platinum difluoride,18820-56-9
F2Pu,plutonium difluoride,20882-15-9
F2S,sulfur difluoride,13814-25-0
F2S2,difluorodisulfane,13709-35-8
F2S2,thiothionyl fluoride,16860-99-4
F2S2,thiothionyl fluoride,101947-30-2
F2S2W,tungsten difluoride disulfide,41831-81-6
F2Sc,scandium difluoride,14017-34-6
F2Se,selenium difluoride,70421-43-1
F2Si,difluorosilylene,13966-66-0
F2Sn,tin difluoride,7783-47-3
F2Sr,strontium fluoride,7783-48-4
F2SW,tungsten difluoride monosulfide,41831-78-1
F2Th,thorium difluoride,28844-11-3
F2Ti,titanium difluoride,13814-20-5
F2Tl2,dithallium difluoride,31970-97-5
F2W,tungsten difluoride,33963-15-4
F2Xe,xenon difluoride,13709-36-9
F2Y,yttrium difluoride,13981-89-0
F2Zn,zinc difluoride,7783-49-5
F2Zr,zirconium fluoride,13842-94-9
F3Fe,iron trifluoride,7783-50-8
F3Ga,gallium trifluoride,7783-51-9
F3Gd,gadolinium trifluoride,13765-26-9
F3Ho,holmium trifluoride,13760-78-6
F3La,lanthanum trifluoride,13709-38-1
F3Li3,trilithium trifluoride,110682-19-4
F3Lu,lutetium trifluoride,13760-81-1
F3Mn,manganese trifluoride,7783-53-1
F3Mo,molybdenum trifluoride,20193-58-2
F3MoO,molybdenum trifluoride oxide,22529-29-9
F3MoS,molybdenum trifluoride sulfide,67374-76-9
F3N,nitrogen trifluoride,7783-54-2
F3NaSn,sodium trifluorostannate,13782-22-4
F3Nd,neodymium trifluoride,13709-42-7
F3NO,nitrogen trifluoride oxide,13847-65-9
F3NO2S,difluoroaminosulfonyl fluoride,13709-30-3
F3NO3S,difluoraminooxysulfonyl fluoride,12/2/6816
F3NS,thiazyl trifluoride,15930-75-3
F3OP,phosphoryl fluoride,13478-20-1
F3OTa,tantalum monoxide trifluoride,20263-47-2
F3OV,vanadium trifluoride oxide,13709-31-4
F3P,phosphorus trifluoride,7783-55-3
F3Pr,praseodymium trifluoride,13709-46-1
F3PS,thiophosphoryl fluoride,2404-52-6
F3Pu,plutonium trifluoride,13842-83-6
F3Rh,rhodium fluoride,60804-25-3
F3S,sulfur trifluoride,30937-38-3
F3Sb,antimony trifluoride,7783-56-4
F3Sc,scandium fluoride,13709-47-2
F3Si,trifluorosilyl radical,14835-14-4
F3Sm,samarium trifluoride,13765-24-7
F3SW,tungsten trifluoride monosulfide,41831-79-2
F3Tb,terbium trifluoride,13708-63-9
F3Th,thorium trifluoride,13842-84-7
F3Ti,titanium trifluoride,13470-08-1
F3Tl,thallium trifluoride,7783-57-5
F3Tm,thulium trifluoride,13760-79-7
F3W,tungsten trifluoride,51621-17-1
F3Y,yttrium trifluoride,13709-49-4
F3Yb,ytterbium trifluoride,13760-80-0
F3Zr,zirconium trifluoride,13814-22-7
F4Ge,germanium tetrafluoride,7783-58-6
F4Ge2,digermanium tetrafluoride,12332-08-0
F4Hf,hafnium fluoride,13709-52-9
F4Mg2,dimagnesium tetrafluoride,56450-89-6
F4Mg2,magnesium fluoride,58790-41-3
F4Mo,molybdenum tetrafluoride,23412-45-5
F4MoO,molybdenum tetrafluoride oxide,14459-59-7
F4MoS,molybdenum tetrafluoride monosulfide,70487-60-4
F4N2,tetrafluorohydrazine,10036-47-2
F4Na2Sn,disodium tetrafluorostannate,15007-55-3
F4OOs,osmium oxide tetrafluoride,38448-58-7
F4OP2,diphosphorus tetrafluoride oxide,13812-07-2
F4ORe,rhenium tetrafluoride oxide,17026-29-8
F4OS,sulfur tetrafluoride oxide,13709-54-1
F4OW,tungsten tetrafluoride oxide,13520-79-1
F4OXe,xenon tetrafluoride oxide,13774-85-1
F4P2,diphosphorus tetrafluoride,13824-74-3
F4Pb,lead tetrafluoride,7783-59-7
F4Pt,platinum tetrafluoride,13455-15-7
F4Pu,plutonium tetrafluoride,13709-56-3
F4S,sulfur tetrafluoride,7783-60-0
F4Se,selenium tetrafluoride,13465-66-2
F4Si,silicon tetrafluoride,7783-61-1
F4Sn2,ditin tetrafluoride,130950-28-6
F4SW,tungsten tetrafluoride monosulfide,41831-80-5
F4Ti,titanium fluoride,7783-63-3
F4U,uranium tetrafluoride,10049-14-6
F4W,tungsten tetrafluoride,13766-47-7
F4Xe,xenon tetrafluoride,13709-61-0
F4Zr,zirconium tetrafluoride,7783-64-4
F5I,iodine pentafluoride,7783-66-6
F5Mo,molybdenum pentafluoride,13819-84-6
F5ORe,rhenium monoxide pentafluoride,23377-53-9
F5P,phosphorus pentafluoride,7647-19-0
F5Pu,plutonium pentafluoride,31479-19-3
F5S,disulfur decafluoride,10546-01-7
F5Sb,antimony pentafluoride,7783-70-2
F5Ta,tantalum pentafluoride,7783-71-3
F5U,uranium pentafluoride,13775-07-0
F5W,tungsten pentafluoride,19357-83-6
F6Fe2,diiron hexafluoride,17114-45-3
F6La2,lanthanum trifluoride dimer,12592-31-3
F6Mo,molybdenum hexafluoride,7783-77-9
F6NP3,nitridotriphosphorous hexafluoride,56564-56-8
F6Os,osmium hexafluoride,13768-38-2
F6Pu,plutonium hexafluoride,13693-06-6
F6Re,rhenium hexafluoride,10049-17-9
F6S,sulfur hexafluoride,2551-62-4
F6Se,selenium hexafluoride,7783-79-1
F6Si2,hexafluorodisilane,13830-68-7
F6Sn3,tritin hexafluoride,12324-60-6
F6Te,tellurium hexafluoride,7783-80-4
F6U,uranium hexafluoride,7783-81-5
F6W,tungsten hexafluoride,7783-82-6
F6Xe,xenon hexafluoride,13693-09-9
F7I,iodine fluoride,16921-96-3
F7NS,pentafluorosulfanyldifluoroamine,13693-10-2
F7Re,rhenium heptafluoride,17029-21-9
F8Si3,octafluorotrisilane,14521-14-3
Fe(OH)2,iron(II) hydroxide,
Fe(OH)3,iron(III) hydroxide,
Fe2I2,diiron diiodide,92785-64-3
Fe2I4,diiron tetraiodide,92785-63-2
Fe2O12S3,ferric sulfate,10028-22-5
Fe2O12W3,iron(III) orthotungstate,
Fe2O3,iron oxide,1317-60-8
Fe2O3,venetian red,8011-97-0
Fe2P,diiron phosphide,
Fe2SiO4,fayalite,
Fe3H2Na2O45Si,chrysotile,12001-28-4
Fe3O4,magnetite,1309-38-2
Fe3P,iron(tri) phosphide,
Fe7Si8O24H2,amosite,12172-73-5
FeAsS,iron arsenic sulfide,
FeBr3 · 6H2O,iron(III) bromide hexahydrate,
FeC10H10,ferrocene,
FeC2O4,iron oxalate,
FeC5O5,iron pentacarbonyl,13463-40-6
FeCl2,iron(II) chloride,
FeCl3,iron(III) chloride,7705-08-0
FeCO3,siderite,
FeCr2O4,chromite (ore),
FeF2 · 4H2O,iron(II) fluoride tetrahydrate,
FeI,iron monoiodide,33019-21-5
FeI2,iron diiodide,7783-86-0
FeI2 · 4H2O,iron(II) iodide tetrahydrate,
FeI3,iron(III) iodide,
FeMoO4,iron(II) orthomolybdate,
FeO,iron monoxide,1345-25-1
FeO2,iron dioxide,12411-15-3
FeO2H,goethite,
FeO2H · nH2O,limonite,
FeO4S,ferrous sulfate,7720-78-7
FeO8H4P2,iron(II) dihydrogen phosphate,
FeP,iron(III) phosphide,
FeS,iron sulfide,1317-96-0
FeS2,pyrite,1309-36-0
FeSe,iron(II) selenide,
FeTe,iron(II) telluride,
FeTiO3,iron(II) metatitanate,
FeVO4,iron(III) orthovanadate,
FeWO4,iron(II) orthotungstate,
FeZrO3,iron(II) metazirconate,
FGa,gallium monofluoride,13966-78-4
FGaO,gallium monofluoride monoxide,15586-66-0
FGd,gadolinium monofluoride,12259-18-6
FGe,germanium monofluoride,14929-46-5
FHo,holmium monofluoride,16087-66-4
FI,iodine monofluoride,13873-84-2
FI2,monofluorodiiodine,58751-33-0
FIn,indium monofluoride,13966-95-5
FLa,lanthanum monofluoride,13943-44-7
FLi,lithium fluoride,7789-24-4
FLi2,dilithium monofluoride,50644-69-4
FLiO,lithium hypofluorite,34240-84-1
FMg,magnesium monofluoride,14953-28-7
FMn,monomanganese monofluoride,13569-25-0
FMnO3,manganese fluoride trioxide,15586-97-7
FMo,molybdenum monofluoride,60388-18-3
FN,fluoroimidogen,13967-06-1
FNa,sodium fluoride,7681-49-4
FNa2,disodium monofluoride,87331-13-3
FNd,neodymium monofluoride,13940-77-7
FNO,nitrosyl fluoride,7789-25-5
FNO2,nitryl fluoride,10022-50-1
FNO3,fluorine nitrate,7789-26-6
FNS,thiazyl fluoride,18820-63-8
FO,oxygen monofluoride,12061-70-0
FO2,dioxygen monofluoride,15499-23-7
FO3S,fluorosulfate radical,21549-02-0
FOTh,thorium monofluoride monoxide,19797-90-1
FOTi,titanium fluoride oxide,17497-75-5
FP,phosphorus monofluoride,16027-92-2
FPb,lead monofluoride,14986-72-2
FPS,phosphenothious fluoride,55753-39-4
FPS2,phosphenodithioic fluoride,137649-46-8
FPu,plutonium monofluoride,20882-16-0
FRb,rubidium fluoride,13446-74-7
FS,monosulfur monofluoride,16068-96-5
FSc,scandium monofluoride,14017-33-5
FSm,samarium monofluoride,17209-59-5
FSn,tin monofluoride,13966-74-0
FSr,strontium monofluoride,13569-27-2
FTh,thorium monofluoride,51686-34-1
FTi,titanium fluoride,18025-22-4
FTl,thallium monofluoride,7789-27-7
FW,tungsten monofluoride,51621-16-0
FXe,xenon monofluoride,16757-14-5
FY,yttrium monofluoride,13981-88-9
FZr,zirconium fluoride,13569-28-3
Ga(C2H3O2)3,gallium(III) acetate,
Ga(OH)3,gallium(III) hydroxide,
Ga2(SO4)3·18H2O,gallium(III) sulfate octadecahydrate,
Ga2O3,gallium(III) oxide,12024-21-4
Ga2S3,gallium(III) sulfide,
Ga2Te3,gallium(III) telluride,
GaAs,gallium(III) arsenide,
GaAsO4,gallium(III) orthoarsenate,
GaBr3,gallium(III) bromide,13450-88-9
GaCl2,gallium(II) chloride,128579-09-9
GaCl3,gallium trichloride,13450-90-3
GaI2,gallium(II) iodide,
GaI3,gallium(III) iodide,13450-91-4
GaN,gallium(III) nitride,
GaPO4,gallium(III) orthophosphate,
GaSb,gallium(III) antimonide,12064-03-8
GaTe,gallium(II) telluride,12024-14-5
GeBr4,germanium(IV) bromide,13450-92-5
GeH3COOH,2-germaacetic acid,
GeI2,germanium(II) iodide,13573-08-5
GeI4,germanium(IV) iodide,13450-95-8
GeO,germanium(II) oxide,20619-16-3
glucose,50-99-7,
H2,hydrogen,1333-74-0
H2C2O4,oxalic acid,144-62-7
H2C4H4O6,tartaric acid,
H2C8H4O4,phthalic acid,
H2CCHCN,acrylonitrile,
H2CO,formaldehyde,19710-56-6
H2CO3,carbonic acid,107-32-4
H2CrO4,chromic acid,
H2CSO,sulfine,40100-16-1
H2NCH2COOH,glycine,
H2NNH2,hydrazine,
H2O,water,7732-18-5
H2O2,hydrogen peroxide,7722-84-1
H2PO4−,dihydrogen phosphate ion,
H2S,hydrogen sulfide,6/4/7783
H2S2O7,disulfuric acid,
H2S2O8,peroxydisulfuric acid,
H2SeO3,selenous acid,
H2SeO4,selenic acid,
H2SiO3,silicic acid,7699-41-4
H2SO3,sulfurous acid,
H2SO4,sulfuric acid,7664-93-9
H2TeO3,tellurous acid,
H2TiO3,titanic acid,
H3AsO4,arsenic acid,
H3CCH2CH3,propane,
H3N+CH2COO−,zwitterion,
H3O+,hydronium ion,
H3PO4,phosphoric acid,7664-38-2
H4XeO6,perxenic acid,
H6TeO6,telluric acid,
HAt,hydrogen astatide,
HBr,hydrogen bromide,10035-10-6
HC12H17ON4SCl2,thiamine hydrochloride,
HC3H5O3,lactic acid,
HC5H5N+,pyridinium ion,
HC6H7O6,ascorbic acid,
HC9H7O4,acetylsalicylic acid,
HCCH,acetylene,
HCl,hydrochloric acid,7647-01-0
HClO,hypochlorous acid,7790-92-3
HClO2,chlorous acid,13898-47-0
HClO3,chloric acid,7790-93-4
HClO4,perchloric acid,7601-90-3
HCN,hydrocyanic acid,7/4/6914
HCO3−,hydrogen carbonate ion,
HCONH2,formamide,
HCOO−,formate ion,
HCOOH,formic acid,
HCOONH4,ammonium formate,
HDO,semiheavy water,14940-63-7
HF,hydrofluoric acid,7664-39-3
Hf(SO4)2,hafnium(IV) sulfate,
HfBr4,hafnium(IV) bromide,13777-22-5
HfF4,hafnium(IV) fluoride,13709-52-9
HfOCl2 · 8H2O,hafnium(IV) oxychloride octahydrate,
HfOH(C2H3O2)3,"hafnium(IV) acetate, basic",
Hg(BrO3)2 · 2H2O,mercury(II) bromate dihydrate,
Hg(C2H3O2)2,mercury(II) acetate,
Hg(C7H5O2)2 · H2O,mercury(II) benzoate monohydrate,
Hg(ClO4)2 · 3H2O,mercury(II) perchlorate trihydrate,
